1,CS1131,2
2,CS2231,2
2,CS2233,2
3,CS3231,3
3,CS3232,2
3,CS3233,3
3,CS3234,2
4,CS4131,4
4,CS4231,2
4,CS4132,4
4,CS4232,4
5,CS5131,4
5,CS5132,4
6,CS6131,4
6,CS6132,4
1,PC1110,4
1,PC1301,1.5
1,PC1302,1.5
1,PC1303,1.5
1,PC1304,1.5
2,PC2110,4
2,PC2302,2
2,PC2304,2
2,PC2305,2
3,PC3110,6
3,PC3200,2
3,PC3201,2
3,PC3302,2
3,PC3305,2
4,PC4110,3
4,PC4111,3
4,PC4203,2
4,PC4206,2
5,PC5101,3
5,PC5106,2
5,PC5107,2
5,PC5200,2
5,PC5201,2
5,PC5202,2
5,PC5401,2
5,PC5403,2
6,PC6110,2
6,PC6203,2
6,PC6208,2
6,PC6402,2
6,PC6404,2
1,CM1131,4
1,CM1331,2
2,CM2231,2
2,CM2131,6
2,CM2331,2
3,CM3231,2
3,CM3332,2
3,CM3232,2
3,CM3131,6
4,CM4131,4
4,CM4231,2
4,CM4132,4
4,CM4232,2
4,CM4234,2
5,CM5131,4
5,CM5231,2
5,CM5431,2
5,CM5132,4
5,CM5232,2
5,CM5432,2
5,CM5433,2
5,CM5434V,4
6,CM6131,4
6,CM6434V,4
6,CM6132,4
6,CM6431,2
6,CM6231,2
6,CM6232,2
6,CM6432,2
6,CM6433,2
1,EL1108,7
2,EL2108,7
3,EL3103,6
3,EL3201,2
4,EL4104,6
5,EL5101,6
6,EL6103,3
6,EL6105,3
6,EL6106,3
6,EL6203,2
1,MA1131,3
1,MA1231,2
1,MA1132,3
1,MA1232,2
1,MA1232V,2
1,MA1331,2
2,MA2131,4
2,MA2231,2
2,MA2231V,2
2,MA2132,4
2,MA2232,2
2,MA2232V,2
3,MA3131,4
3,MA3231,2
3,MA3231V,2
3,MA3331,3
3,MA3132,4
4,MA4131,5
4,MA4231V,2
4,MA4132,5
5,MA5131,5
5,MA5231V,2
5,MA5431+,2
5,MA5132,5
5,MA5431V,4
5,MA5432+,2
6,MA6131,5
6,MA6431+,2
6,MA6431V,4
6,MA6132,5
6,MA6432^,2
6,MA6433^,2
1,HU1131,4
2,GE2131,2
2,GE2132,2
2,HU2131,2
2,HY2131,2
2,HY2131,2
3,GE3131,3
3,GE3132,3
3,HY3131,3
3,HY3132,3
4,EC4131,4
4,EC4132,4
4,GE4131,4
4,GE4132,4
4,HY4131,4
4,HY4132,4
5,EC5131,4
5,EC5132,4
5,HY4131,4
5,HY4132,4
5,GE4131,4
5,GE4132,4
6,EC6131,4
6,EC6132,4
6,HY6131,4
6,HY6132,4
6,GE6131,4
6,GE6132,4
6,HU6131,4
1,CH1103,6
1,CL1103,6
1,MH1103,6
1,ML1103,6
1,TH1103,6
1,TL1103,6
1,CL1201,1
1,CL1202,1
1,CL1221,3
1,FR1201,3
1,JP1201,3
1,ML1201,3
1,CL1204,1
1,CL1222,3
1,FR1202,3
1,JP1202,3
1,ML1202,3
1,CL1313,6
2,CH2103,6
2,CL2103,6
2,MH2103,6
2,ML2103,6
2,TH2103,6
2,TL2103,6
2,CL2221,3
2,FR2201,3
2,JP2201,3
2,ML2201,3
2,CL2222,3
2,FR2202,3
2,JP2202,3
2,ML2202,3
2,CL2313,6
2,ML2313,6
2,TL2313,6
3,CH3103,6
3,CL3103,6
3,MH3103,6
3,ML3103,6
3,TH3103,6
3,TL3103,6
3,CL3202,2
3,CL3221,3
3,FR3201,3
3,JP3201,3
3,ML3201,3
3,CL3204,2
3,CL3222,3
3,FR3202,3
3,JP3202,3
3,ML3202,3
3,CL3313,6
3,ML3313,6
3,TL3313,6
4,CH4103,6
4,CL4103,6
4,MH4103,6
4,ML4103,6
4,TH4103,6
4,TL4103,6
4,CL4221,3
4,FR4201,3
4,JP4201,3
4,ML4201,3
4,CL4222,3
4,FR4202,3
4,JP4202,3
4,ML4202,3
4,CL4313,6
4,ML4313,6
4,TL4313,6
5,CL5103,6
5,ML5103,6
5,TL5103,6
5,CL5201,1
5,CL5202,1
5,CL5313,6
5,ML5313,6
5,TL5313,6
1,AR1131,2
2,AR2131,2
2,AR2132,2
3,AR3131,3
3,AR3132,3
4,AR4131,4
4,AR4132,4
5,AR5131,4
5,AR5132,4
6,AR6131,4
6,AR6132,4
1,MU1131,2
2,MU2101,2
2,MU3101,2
3,MU3102,2
4,MU4101,2
4,MU4102,2
5,MU5101,3
5,MU5102,3
6,MU6101,3
6,MU6102,3
1,BL1131,4
2,BL2231,2
2,BL2232,2
2,BL2131,6
3,BL3231,2
3,BL3331,2
3,BL3232,2
3,BL3131,6
4,BL4231,2
4,BL4232,2
4,BL4131,8
5,BL5232,2
5,BL5131,8
6,BL6131,8
